Week starting (Wythnos yn dechrau),Week ending (Wythnos yn gorffen),Number of app downloads (Nifer o lawrlwythiadau ap),Number of venues the app has sent alerts about (Nifer o leoliadau mae’r ap wedi anfon hysbysiadau amdanynt),Number of NHS QR posters created (Nifer o bosteri cod QR y GIG a grëwyd),Cumulative number of app downloads (Nifer o lawrlwythiadau ap cronnus),Cumulative number of 'at risk' venues triggering venue alerts (Nifer o leoliadau 'dan risg' cronnus),Cumulative number of NHS QR posters created (Nifer o bosteri cod QR y GIG a grëwyd cronnus)
13/08/2020,19/08/2020,53238,0,401,53238,0,401
20/08/2020,26/08/2020,54248,0,521,107486,0,922
27/08/2020,02/09/2020,42643,0,408,150129,0,1330
03/09/2020,09/09/2020,35676,0,335,185805,0,1665
10/09/2020,16/09/2020,110262,0,24936,296067,0,26601
17/09/2020,23/09/2020,695109,0,200115,991176,0,226716
24/09/2020,30/09/2020,13460942,0,344921,14452118,0,571637
01/10/2020,07/10/2020,2072172,0,71543,16524290,0,643180
08/10/2020,14/10/2020,1169360,0,41269,17693650,0,684449
15/10/2020,21/10/2020,970084,0,28532,18663734,0,712981
22/10/2020,28/10/2020,575392,0,17012,19239126,0,729993
29/10/2020,04/11/2020,419510,0,13056,19658636,0,743049
05/11/2020,11/11/2020,185539,0,8048,19844175,0,751097
12/11/2020,18/11/2020,212310,0,4976,20056485,0,756073
19/11/2020,25/11/2020,153076,0,4005,20209561,0,760078
26/11/2020,02/12/2020,140009,0,6327,20349570,0,766405
03/12/2020,09/12/2020,187657,0,4918,20537227,0,771323
10/12/2020,16/12/2020,191082,28,3868,20728309,28,775191
17/12/2020,23/12/2020,177378,84,2770,20905687,112,777961
24/12/2020,30/12/2020,166442,41,1142,21072129,153,779103
31/12/2020,06/01/2021,174981,54,3106,21247110,207,782209
07/01/2021,13/01/2021,157703,19,2876,21404813,226,785085
14/01/2021,20/01/2021,122430,15,2053,21527243,241,787138
21/01/2021,27/01/2021,102659,12,1721,21629902,253,788859
28/01/2021,03/02/2021,87413,11,1651,21717315,264,790510
04/02/2021,10/02/2021,69771,3,1293,21787086,267,791803
11/02/2021,17/02/2021,69969,1,1194,21857055,268,792997
18/02/2021,24/02/2021,66803,4,1136,21923858,272,794133
25/02/2021,03/03/2021,70050,0,1261,21993908,272,795394
04/03/2021,10/03/2021,78719,1,1712,22072627,273,797106
11/03/2021,17/03/2021,62252,4,1449,22134879,277,798555
18/03/2021,24/03/2021,75420,0,2214,22210299,277,800769
25/03/2021,31/03/2021,66790,0,5552,22277089,277,806321
01/04/2021,07/04/2021,74987,5,18111,22352076,282,824432
08/04/2021,14/04/2021,281709,0,31118,22633785,282,855550
15/04/2021,21/04/2021,376874,11,11628,23010659,293,867178
22/04/2021,28/04/2021,306991,11,8859,23317650,304,876037
29/04/2021,05/05/2021,248422,3,6280,23566072,307,882317
06/05/2021,12/05/2021,210122,8,8450,23776194,315,890767
13/05/2021,19/05/2021,326544,17,14466,24102738,332,905233
20/05/2021,26/05/2021,437161,23,7854,24539899,355,913087
27/05/2021,02/06/2021,393842,102,4784,24933741,457,917871
03/06/2021,09/06/2021,324199,270,5448,25257940,727,923319
10/06/2021,16/06/2021,286753,467,5795,25544693,1194,929114
17/06/2021,23/06/2021,305157,352,6360,25849850,1546,935474
24/06/2021,30/06/2021,331520,496,5911,26181370,2042,941385
01/07/2021,07/07/2021,342483,1247,4896,26523853,3289,946281
08/07/2021,14/07/2021,302895,688,4289,26826748,3977,950570
15/07/2021,21/07/2021,298819,1992,6696,27125567,5969,957266
22/07/2021,28/07/2021,172729,789,3455,27298296,6758,960721
29/07/2021,04/08/2021,125610,757,2311,27423906,7515,963032
05/08/2021,11/08/2021,111457,1366,1752,27535363,8881,964784
12/08/2021,18/08/2021,103103,1432,1475,27638466,10313,966259
19/08/2021,25/08/2021,101645,1212,1267,27740111,11525,967526
26/08/2021,01/09/2021,105866,1139,1315,27845977,12664,968841
02/09/2021,08/09/2021,109170,1113,1507,27955147,13777,970348
09/09/2021,15/09/2021,106974,715,1374,28062121,14492,971722
16/09/2021,22/09/2021,116471,763,1252,28178592,15255,972974
23/09/2021,29/09/2021,102534,1045,1256,28281126,16300,974230
30/09/2021,06/10/2021,97497,1038,885,28378623,17338,975115
