Week starting (Wythnos yn dechrau),Week ending (Wythnos yn gorffen),Country (Wlad),Check-ins (Cofrestriadau),Symptoms reported (Symptomau a adroddwyd),Positive test results linked to app (Canlyniadau prawf positif),Negative test results linked to app (Canlyniadau prawf negatif),Contact tracing alert (Hysbysiadau olrhain cyswllt),Cumulative check-ins (Cofrestriadau cronnus),Cumulative symptoms reported (Symptomau a adroddwyd cronnus),Cumulative positive test results linked to app (Canlyniadau prawf positif cronnus),Cumulative negative test results linked to app (Canlyniadau prawf negatif cronnus),Cumulative contact tracing alert (Hysbysiadau olrhain cyswllt cronnus)
24/09/2020,30/09/2020,England / Lloegr,9260186,113332,9505,27814,3662,9260186,113332,9505,27814,3662
24/09/2020,30/09/2020,Wales / Cymru,247987,6870,386,4794,108,247987,6870,386,4794,108
01/10/2020,07/10/2020,England / Lloegr,11312733,89415,20686,88951,19182,20572919,202747,30191,116765,22844
01/10/2020,07/10/2020,Wales / Cymru,255741,4992,742,5158,535,503728,11862,1128,9952,643
08/10/2020,14/10/2020,England / Lloegr,13363452,85066,22657,93105,26882,33936371,287813,52848,209870,49726
08/10/2020,14/10/2020,Wales / Cymru,296788,4533,964,5164,815,800516,16395,2092,15116,1458
15/10/2020,21/10/2020,England / Lloegr,14602315,94489,37405,144380,32257,48538686,382302,90253,354250,81983
15/10/2020,21/10/2020,Wales / Cymru,338916,4740,1662,7273,991,1139432,21135,3754,22389,2449
22/10/2020,28/10/2020,England / Lloegr,14226215,73943,42643,138811,33081,62764901,456245,132896,493061,115064
22/10/2020,28/10/2020,Wales / Cymru,134350,4298,2401,7661,1139,1273782,25433,6155,30050,3588
29/10/2020,04/11/2020,England / Lloegr,14087882,81663,46276,135582,122847,76852783,537908,179172,628643,237911
29/10/2020,04/11/2020,Wales / Cymru,53609,3453,2648,6827,2074,1327391,28886,8803,36877,5662
05/11/2020,11/11/2020,England / Lloegr,1606756,92447,52279,166561,127803,78459539,630355,231451,795204,365714
05/11/2020,11/11/2020,Wales / Cymru,120476,2766,1497,5886,1497,1447867,31652,10300,42763,7159
12/11/2020,18/11/2020,England / Lloegr,1462358,80978,47164,152472,85882,79921897,711333,278615,947676,451596
12/11/2020,18/11/2020,Wales / Cymru,228575,2958,1590,6555,2195,1676442,34610,11890,49318,9354
19/11/2020,25/11/2020,England / Lloegr,1324400,61582,29028,119065,44570,81246297,772915,307643,1066741,496166
19/11/2020,25/11/2020,Wales / Cymru,214225,3362,1777,7353,2674,1890667,37972,13667,56671,12028
26/11/2020,02/12/2020,England / Lloegr,1812276,55107,23316,97109,35687,83058573,828022,330959,1163850,531853
26/11/2020,02/12/2020,Wales / Cymru,214785,4178,2678,7516,3825,2105452,42150,16345,64187,15853
03/12/2020,09/12/2020,England / Lloegr,5384287,53487,25396,87275,41141,88442860,881509,356355,1251125,572994
03/12/2020,09/12/2020,Wales / Cymru,178004,5405,4543,8835,6290,2283456,47555,20888,73022,22143
10/12/2020,16/12/2020,England / Lloegr,5706384,73947,41765,117303,90658,94149244,955456,398120,1368428,663652
10/12/2020,16/12/2020,Wales / Cymru,166400,7420,7350,12389,9528,2449856,54975,28238,85411,31671
17/12/2020,23/12/2020,England / Lloegr,3371841,83273,55218,149696,199056,97521085,1038729,453338,1518124,862708
17/12/2020,23/12/2020,Wales / Cymru,71363,5237,4639,9420,8504,2521219,60212,32877,94831,40175
24/12/2020,30/12/2020,England / Lloegr,1146639,81051,71312,127449,263821,98667724,1119780,524650,1645573,1126529
24/12/2020,30/12/2020,Wales / Cymru,10350,4099,3597,6579,8637,2531569,64311,36474,101410,48812
31/12/2020,06/01/2021,England / Lloegr,572236,104709,93844,161560,205623,99239960,1224489,618494,1807133,1332152
31/12/2020,06/01/2021,Wales / Cymru,13391,4097,2803,6805,4521,2544960,68408,39277,108215,53333
