areaType,areaName,areaCode,date,newDeaths28DaysByPublishDate,cumDeaths28DaysByPublishDate
overview,United Kingdom,K02000001,2021-10-07,122,137417
overview,United Kingdom,K02000001,2021-10-06,143,137295
overview,United Kingdom,K02000001,2021-10-05,166,137152
overview,United Kingdom,K02000001,2021-10-04,33,136986
overview,United Kingdom,K02000001,2021-10-03,43,136953
overview,United Kingdom,K02000001,2021-10-02,121,136910
overview,United Kingdom,K02000001,2021-10-01,127,136789
overview,United Kingdom,K02000001,2021-09-30,137,136662
overview,United Kingdom,K02000001,2021-09-29,150,136525
overview,United Kingdom,K02000001,2021-09-28,167,136375
overview,United Kingdom,K02000001,2021-09-27,40,136208
overview,United Kingdom,K02000001,2021-09-26,58,136168
overview,United Kingdom,K02000001,2021-09-25,127,136110
overview,United Kingdom,K02000001,2021-09-24,180,135983
overview,United Kingdom,K02000001,2021-09-23,182,135803
overview,United Kingdom,K02000001,2021-09-22,166,135621
overview,United Kingdom,K02000001,2021-09-21,203,135455
overview,United Kingdom,K02000001,2021-09-20,49,135252
overview,United Kingdom,K02000001,2021-09-19,56,135203
overview,United Kingdom,K02000001,2021-09-18,164,135147
overview,United Kingdom,K02000001,2021-09-17,178,134983
overview,United Kingdom,K02000001,2021-09-16,158,134805
overview,United Kingdom,K02000001,2021-09-15,201,134647
overview,United Kingdom,K02000001,2021-09-14,185,134446
overview,United Kingdom,K02000001,2021-09-13,61,134261
overview,United Kingdom,K02000001,2021-09-12,56,134200
overview,United Kingdom,K02000001,2021-09-11,156,134144
overview,United Kingdom,K02000001,2021-09-10,147,133988
overview,United Kingdom,K02000001,2021-09-09,167,133841
overview,United Kingdom,K02000001,2021-09-08,191,133674
overview,United Kingdom,K02000001,2021-09-07,209,133483
overview,United Kingdom,K02000001,2021-09-06,45,133274
overview,United Kingdom,K02000001,2021-09-05,68,133229
overview,United Kingdom,K02000001,2021-09-04,120,133161
overview,United Kingdom,K02000001,2021-09-03,121,133041
overview,United Kingdom,K02000001,2021-09-02,178,132920
overview,United Kingdom,K02000001,2021-09-01,207,132742
overview,United Kingdom,K02000001,2021-08-31,50,132535
overview,United Kingdom,K02000001,2021-08-30,48,132485
overview,United Kingdom,K02000001,2021-08-29,61,132437
overview,United Kingdom,K02000001,2021-08-28,133,132376
overview,United Kingdom,K02000001,2021-08-27,100,132243
overview,United Kingdom,K02000001,2021-08-26,140,132143
overview,United Kingdom,K02000001,2021-08-25,149,132003
overview,United Kingdom,K02000001,2021-08-24,174,131854
overview,United Kingdom,K02000001,2021-08-23,40,131680
overview,United Kingdom,K02000001,2021-08-22,49,131640
overview,United Kingdom,K02000001,2021-08-21,104,131591
overview,United Kingdom,K02000001,2021-08-20,114,131487
overview,United Kingdom,K02000001,2021-08-19,113,131373
overview,United Kingdom,K02000001,2021-08-18,111,131260
overview,United Kingdom,K02000001,2021-08-17,170,131149
overview,United Kingdom,K02000001,2021-08-16,26,130979
overview,United Kingdom,K02000001,2021-08-15,61,130953
overview,United Kingdom,K02000001,2021-08-14,93,130894
overview,United Kingdom,K02000001,2021-08-13,100,130801
overview,United Kingdom,K02000001,2021-08-12,94,130701
overview,United Kingdom,K02000001,2021-08-11,104,130607
overview,United Kingdom,K02000001,2021-08-10,146,130503
overview,United Kingdom,K02000001,2021-08-09,37,130357
overview,United Kingdom,K02000001,2021-08-08,39,130320
overview,United Kingdom,K02000001,2021-08-07,103,130281
overview,United Kingdom,K02000001,2021-08-06,92,130178
overview,United Kingdom,K02000001,2021-08-05,86,130086
overview,United Kingdom,K02000001,2021-08-04,119,130000
overview,United Kingdom,K02000001,2021-08-03,138,129881
overview,United Kingdom,K02000001,2021-08-02,24,129743
overview,United Kingdom,K02000001,2021-08-01,65,129719
overview,United Kingdom,K02000001,2021-07-31,71,129654
overview,United Kingdom,K02000001,2021-07-30,68,129583
overview,United Kingdom,K02000001,2021-07-29,85,129515
overview,United Kingdom,K02000001,2021-07-28,91,129430
overview,United Kingdom,K02000001,2021-07-27,131,129303
overview,United Kingdom,K02000001,2021-07-26,14,129172
overview,United Kingdom,K02000001,2021-07-25,28,129158
overview,United Kingdom,K02000001,2021-07-24,86,129130
overview,United Kingdom,K02000001,2021-07-23,64,129044
overview,United Kingdom,K02000001,2021-07-22,84,128980
overview,United Kingdom,K02000001,2021-07-21,73,128896
overview,United Kingdom,K02000001,2021-07-20,96,128823
