areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedFirstDoseByPublishDate
overview,United Kingdom,K02000001,06/10/2021,32828,49068705
overview,United Kingdom,K02000001,05/10/2021,41347,49035877
overview,United Kingdom,K02000001,04/10/2021,37671,48994530
overview,United Kingdom,K02000001,03/10/2021,24123,48956859
overview,United Kingdom,K02000001,02/10/2021,31066,48932736
overview,United Kingdom,K02000001,01/10/2021,38180,48901670
overview,United Kingdom,K02000001,30/09/2021,34372,48863490
overview,United Kingdom,K02000001,29/09/2021,31539,48829118
overview,United Kingdom,K02000001,28/09/2021,31853,48797579
overview,United Kingdom,K02000001,27/09/2021,24919,48765726
overview,United Kingdom,K02000001,26/09/2021,15984,48740807
overview,United Kingdom,K02000001,25/09/2021,24296,48724823
overview,United Kingdom,K02000001,24/09/2021,27617,48700527
overview,United Kingdom,K02000001,23/09/2021,25083,48672910
overview,United Kingdom,K02000001,22/09/2021,22679,48647827
overview,United Kingdom,K02000001,21/09/2021,20384,48625148
overview,United Kingdom,K02000001,20/09/2021,20150,48604764
overview,United Kingdom,K02000001,19/09/2021,13840,48584614
overview,United Kingdom,K02000001,18/09/2021,26198,48570774
overview,United Kingdom,K02000001,17/09/2021,20778,48544576
overview,United Kingdom,K02000001,16/09/2021,23051,48523798
overview,United Kingdom,K02000001,15/09/2021,24402,48500747
overview,United Kingdom,K02000001,14/09/2021,17645,48476345
overview,United Kingdom,K02000001,13/09/2021,19428,48458700
overview,United Kingdom,K02000001,12/09/2021,14955,48439272
overview,United Kingdom,K02000001,11/09/2021,27913,48424317
overview,United Kingdom,K02000001,10/09/2021,26064,48396404
overview,United Kingdom,K02000001,09/09/2021,25774,48370340
overview,United Kingdom,K02000001,08/09/2021,25131,48344566
overview,United Kingdom,K02000001,07/09/2021,26624,48319435
overview,United Kingdom,K02000001,06/09/2021,22698,48292811
overview,United Kingdom,K02000001,05/09/2021,21795,48270113
overview,United Kingdom,K02000001,04/09/2021,41054,48248318
overview,United Kingdom,K02000001,03/09/2021,35266,48207264
overview,United Kingdom,K02000001,02/09/2021,40002,48171998
overview,United Kingdom,K02000001,01/09/2021,44088,48131996
overview,United Kingdom,K02000001,31/08/2021,39899,48087908
overview,United Kingdom,K02000001,30/08/2021,19643,48048009
overview,United Kingdom,K02000001,29/08/2021,24390,48028366
overview,United Kingdom,K02000001,28/08/2021,43271,48003976
overview,United Kingdom,K02000001,27/08/2021,44937,47960705
overview,United Kingdom,K02000001,26/08/2021,55140,47915768
overview,United Kingdom,K02000001,25/08/2021,68076,47860628
overview,United Kingdom,K02000001,24/08/2021,55410,47792552
overview,United Kingdom,K02000001,23/08/2021,46401,47737142
overview,United Kingdom,K02000001,22/08/2021,40345,47690741
overview,United Kingdom,K02000001,21/08/2021,73006,47650396
overview,United Kingdom,K02000001,20/08/2021,60885,47577390
overview,United Kingdom,K02000001,19/08/2021,55979,47516505
overview,United Kingdom,K02000001,18/08/2021,47284,47460526
overview,United Kingdom,K02000001,17/08/2021,43824,47413242
overview,United Kingdom,K02000001,16/08/2021,35716,47369418
overview,United Kingdom,K02000001,15/08/2021,31257,47333702
overview,United Kingdom,K02000001,14/08/2021,46603,47302445
overview,United Kingdom,K02000001,13/08/2021,40490,47255842
overview,United Kingdom,K02000001,12/08/2021,44384,47215352
overview,United Kingdom,K02000001,11/08/2021,41568,47170968
overview,United Kingdom,K02000001,10/08/2021,37511,47129400
overview,United Kingdom,K02000001,09/08/2021,32250,47091889
overview,United Kingdom,K02000001,08/08/2021,22843,47059639
overview,United Kingdom,K02000001,07/08/2021,37990,47036796
overview,United Kingdom,K02000001,06/08/2021,36976,46998806
overview,United Kingdom,K02000001,05/08/2021,35500,46961830
overview,United Kingdom,K02000001,04/08/2021,33334,46926330
overview,United Kingdom,K02000001,03/08/2021,29290,46892996
overview,United Kingdom,K02000001,02/08/2021,26092,46863706
overview,United Kingdom,K02000001,01/08/2021,21232,46837614
overview,United Kingdom,K02000001,31/07/2021,38826,46816382
overview,United Kingdom,K02000001,30/07/2021,36724,46777556
overview,United Kingdom,K02000001,29/07/2021,42353,46740832
overview,United Kingdom,K02000001,28/07/2021,43847,46698479
overview,United Kingdom,K02000001,27/07/2021,35402,46654632
overview,United Kingdom,K02000001,26/07/2021,30019,46619230
overview,United Kingdom,K02000001,25/07/2021,24551,46589211
overview,United Kingdom,K02000001,24/07/2021,43805,46564660
overview,United Kingdom,K02000001,23/07/2021,42974,46520855
overview,United Kingdom,K02000001,22/07/2021,44036,46477881
overview,United Kingdom,K02000001,21/07/2021,45101,46433845
overview,United Kingdom,K02000001,20/07/2021,39035,46388744
overview,United Kingdom,K02000001,19/07/2021,35670,46349709
overview,United Kingdom,K02000001,18/07/2021,18186,46314039
overview,United Kingdom,K02000001,17/07/2021,67217,46295853
overview,United Kingdom,K02000001,16/07/2021,69491,46228636
overview,United Kingdom,K02000001,15/07/2021,61681,46159145
overview,United Kingdom,K02000001,14/07/2021,60374,46097464
overview,United Kingdom,K02000001,13/07/2021,59073,46037090
overview,United Kingdom,K02000001,12/07/2021,54296,45978017
overview,United Kingdom,K02000001,11/07/2021,42000,45923721
overview,United Kingdom,K02000001,10/07/2021,93763,45881721
overview,United Kingdom,K02000001,09/07/2021,90083,45787958
overview,United Kingdom,K02000001,08/07/2021,96430,45697875
overview,United Kingdom,K02000001,07/07/2021,86953,45601445
overview,United Kingdom,K02000001,06/07/2021,85811,45514492
overview,United Kingdom,K02000001,05/07/2021,76962,45428681
overview,United Kingdom,K02000001,04/07/2021,77222,45351719
overview,United Kingdom,K02000001,03/07/2021,137389,45274497
overview,United Kingdom,K02000001,02/07/2021,123605,45137108
overview,United Kingdom,K02000001,01/07/2021,152525,45013503
overview,United Kingdom,K02000001,30/06/2021,141216,44860978
overview,United Kingdom,K02000001,29/06/2021,137991,44719762
overview,United Kingdom,K02000001,28/06/2021,127260,44581771
overview,United Kingdom,K02000001,27/06/2021,139712,44454511
overview,United Kingdom,K02000001,26/06/2021,234441,44314799
overview,United Kingdom,K02000001,25/06/2021,202497,44080358
overview,United Kingdom,K02000001,24/06/2021,221534,43877861
overview,United Kingdom,K02000001,23/06/2021,207647,43656327
overview,United Kingdom,K02000001,22/06/2021,299837,43448680
overview,United Kingdom,K02000001,21/06/2021,21080,43148843
overview,United Kingdom,K02000001,20/06/2021,163750,43127763
overview,United Kingdom,K02000001,19/06/2021,280241,42964013
overview,United Kingdom,K02000001,18/06/2021,223140,42683772
overview,United Kingdom,K02000001,17/06/2021,243978,42460632
overview,United Kingdom,K02000001,16/06/2021,195565,42216654
overview,United Kingdom,K02000001,15/06/2021,190033,42021089
overview,United Kingdom,K02000001,14/06/2021,132627,41831056
overview,United Kingdom,K02000001,13/06/2021,147228,41698429
overview,United Kingdom,K02000001,12/06/2021,254185,41551201
overview,United Kingdom,K02000001,11/06/2021,208531,41297016
overview,United Kingdom,K02000001,10/06/2021,201607,41088485
overview,United Kingdom,K02000001,09/06/2021,176559,40886878
overview,United Kingdom,K02000001,08/06/2021,136802,40710319
overview,United Kingdom,K02000001,07/06/2021,112941,40573517
overview,United Kingdom,K02000001,06/06/2021,127345,40460576
overview,United Kingdom,K02000001,05/06/2021,203613,40333231
overview,United Kingdom,K02000001,04/06/2021,179924,40129618
overview,United Kingdom,K02000001,03/06/2021,191266,39949694
overview,United Kingdom,K02000001,02/06/2021,172763,39758428
overview,United Kingdom,K02000001,01/06/2021,108507,39585665
overview,United Kingdom,K02000001,31/05/2021,93103,39477158
overview,United Kingdom,K02000001,30/05/2021,124887,39384055
