areaType,areaName,areaCode,date,newPeopleVaccinatedSecondDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate
overview,United Kingdom,K02000001,06/10/2021,28576,45078529
overview,United Kingdom,K02000001,05/10/2021,28572,45049953
overview,United Kingdom,K02000001,04/10/2021,29337,45021381
overview,United Kingdom,K02000001,03/10/2021,21532,44992044
overview,United Kingdom,K02000001,02/10/2021,34391,44970512
overview,United Kingdom,K02000001,01/10/2021,34289,44936121
overview,United Kingdom,K02000001,30/09/2021,34459,44901832
overview,United Kingdom,K02000001,29/09/2021,34093,44867373
overview,United Kingdom,K02000001,28/09/2021,33532,44833280
overview,United Kingdom,K02000001,27/09/2021,33177,44799748
overview,United Kingdom,K02000001,26/09/2021,25539,44766571
overview,United Kingdom,K02000001,25/09/2021,47118,44741032
overview,United Kingdom,K02000001,24/09/2021,44759,44693914
overview,United Kingdom,K02000001,23/09/2021,44588,44649155
overview,United Kingdom,K02000001,22/09/2021,44047,44604567
overview,United Kingdom,K02000001,21/09/2021,43406,44560520
overview,United Kingdom,K02000001,20/09/2021,46342,44517114
overview,United Kingdom,K02000001,19/09/2021,35157,44470772
overview,United Kingdom,K02000001,18/09/2021,72497,44435615
overview,United Kingdom,K02000001,17/09/2021,60384,44363118
overview,United Kingdom,K02000001,16/09/2021,63973,44302734
overview,United Kingdom,K02000001,15/09/2021,63290,44238761
overview,United Kingdom,K02000001,14/09/2021,66725,44175471
overview,United Kingdom,K02000001,13/09/2021,60653,44108746
overview,United Kingdom,K02000001,12/09/2021,52615,44048093
overview,United Kingdom,K02000001,11/09/2021,98059,43995478
overview,United Kingdom,K02000001,10/09/2021,91811,43897419
overview,United Kingdom,K02000001,09/09/2021,96702,43805608
overview,United Kingdom,K02000001,08/09/2021,87960,43708906
overview,United Kingdom,K02000001,07/09/2021,85848,43620946
overview,United Kingdom,K02000001,06/09/2021,80015,43535098
overview,United Kingdom,K02000001,05/09/2021,73193,43455083
overview,United Kingdom,K02000001,04/09/2021,128553,43381890
overview,United Kingdom,K02000001,03/09/2021,110590,43253337
overview,United Kingdom,K02000001,02/09/2021,119375,43142747
