areaCode,areaName,areaType,date,capacityPillarOneTwo,cumAdmissions,cumCasesBySpecimenDate,cumDailyNsoDeathsByDeathDate,cumDeaths28DaysByDeathDate
K02000001,United Kingdom,overview,05/10/2021,845135,,8006660,,137295
K02000001,United Kingdom,overview,04/10/2021,845135,,7997344,,137268
K02000001,United Kingdom,overview,03/10/2021,845135,,7960308,,137214
K02000001,United Kingdom,overview,02/10/2021,830605,550270,7929854,,137155
K02000001,United Kingdom,overview,01/10/2021,851225,549604,7904585,,137086
K02000001,United Kingdom,overview,30/09/2021,845015,548958,7876147,,136989
K02000001,United Kingdom,overview,29/09/2021,830625,548308,7844222,,136898
K02000001,United Kingdom,overview,28/09/2021,840695,547520,7809966,,136790
K02000001,United Kingdom,overview,27/09/2021,884915,546763,7774085,,136693
K02000001,United Kingdom,overview,26/09/2021,880945,545991,7733224,,136586
K02000001,United Kingdom,overview,25/09/2021,876735,545329,7701741,,136498
K02000001,United Kingdom,overview,24/09/2021,871585,544664,7673909,162533,136381
K02000001,United Kingdom,overview,23/09/2021,864675,543941,7642338,162464,136260
K02000001,United Kingdom,overview,22/09/2021,873595,543173,7607131,162365,136124
K02000001,United Kingdom,overview,21/09/2021,875105,542427,7571005,162251,135983
K02000001,United Kingdom,overview,20/09/2021,875625,541636,7532794,162143,135863
K02000001,United Kingdom,overview,19/09/2021,840095,540832,7492717,162009,135730
K02000001,United Kingdom,overview,18/09/2021,828465,540108,7462196,161889,135607
K02000001,United Kingdom,overview,17/09/2021,827315,539350,7435915,161763,135487
K02000001,United Kingdom,overview,16/09/2021,820440,538595,7406863,161596,135318
K02000001,United Kingdom,overview,15/09/2021,822630,537710,7377695,161447,135170
K02000001,United Kingdom,overview,14/09/2021,823180,536764,7347762,161292,135029
K02000001,United Kingdom,overview,13/09/2021,799250,535820,7316846,161139,134876
K02000001,United Kingdom,overview,12/09/2021,771580,534885,7282737,161027,134766
K02000001,United Kingdom,overview,11/09/2021,771350,534024,7259073,160891,134628
K02000001,United Kingdom,overview,10/09/2021,761870,533172,7235885,160751,134493
K02000001,United Kingdom,overview,09/09/2021,762132,532253,7207188,160605,134350
K02000001,United Kingdom,overview,08/09/2021,756772,531222,7173785,160431,134188
K02000001,United Kingdom,overview,07/09/2021,686792,530061,7138560,160294,134050
K02000001,United Kingdom,overview,06/09/2021,687285,528962,7100542,160137,133896
K02000001,United Kingdom,overview,05/09/2021,767415,527886,7056403,159989,133759
K02000001,United Kingdom,overview,04/09/2021,758815,527009,7025150,159838,133605
K02000001,United Kingdom,overview,03/09/2021,748565,526061,6993793,159705,133473
K02000001,United Kingdom,overview,02/09/2021,720242,525137,6955779,159559,133326
K02000001,United Kingdom,overview,01/09/2021,718582,524138,6914155,159425,133199
K02000001,United Kingdom,overview,31/08/2021,698152,523062,6871319,159312,133083
K02000001,United Kingdom,overview,30/08/2021,758152,522067,6826836,159196,132968
K02000001,United Kingdom,overview,29/08/2021,762152,521070,6792661,159089,132862
K02000001,United Kingdom,overview,28/08/2021,751792,520218,6766965,158956,132734
K02000001,United Kingdom,overview,27/08/2021,752152,519358,6739799,158826,132612
